Website Data Type,Website Data,Source
Adwords Cost,0.07942782991821831,Competitor 4
Adwords Keywords,1.0,Competitor 4
Adwords Traffic,0.3749090909090909,Competitor 4
Average Visit Duration,0.7640449438202247,Competitor 4
Bounce Rate,0.0,Competitor 4
Category Rank,0.3926441351888667,Competitor 4
Direct,0.0,Competitor 4
Display,0.12,Competitor 4
Mail,0.027397260273972605,Competitor 4
Number of Keywords 1-3,0.0,Competitor 4
Number of Keywords 3-10,0.0,Competitor 4
Organic Cost,0.0,Competitor 4
Organic Keywords,0.017225346499579325,Competitor 4
Organic Keywords Percentage,0.5036666666666667,Competitor 4
Organic Search,0.8296943231441047,Competitor 4
Organic Traffic,0.0,Competitor 4
PLA Keywords,0.0,Competitor 4
PLA Uniques,0.0,Competitor 4
Pages per Visit,1.0,Competitor 4
Paid Keywords Percentage,0.49633333333333335,Competitor 4
Paid Search,0.4956772334293948,Competitor 4
Rank,0.9999999999999999,Competitor 4
Referrals,1.0,Competitor 4
SERP Features Positions,0.0,Competitor 4
SERP Features Positions Branded,,Competitor 4
SERP Features Traffic,,Competitor 4
Social,0.7098445595854923,Competitor 4
Total Keywords #5,0.0,Competitor 4
Total Visits,0.0,Competitor 4
