Website Data Type,Website Data,Source
Adwords Cost,1.0,Main
Adwords Keywords,0.6,Main
Adwords Traffic,0.9999999999999999,Main
Average Visit Duration,0.9999999999999999,Main
Bounce Rate,0.19158527422990357,Main
Category Rank,0.08946322067594432,Main
Direct,0.32629831633862927,Main
Display,0.06,Main
Mail,0.34246575342465757,Main
Number of Keywords 1-3,0.40619171950764643,Main
Number of Keywords 3-10,0.5806045340050378,Main
Organic Cost,0.9256333355673212,Main
Organic Keywords,0.43707656201567546,Main
Organic Keywords Percentage,0.5383333333333336,Main
Organic Search,0.9967248908296944,Main
Organic Traffic,0.7372253357604598,Main
PLA Keywords,0.0,Main
PLA Uniques,0.0,Main
Pages per Visit,0.8859649122807017,Main
Paid Keywords Percentage,0.4616666666666666,Main
Paid Search,0.521613832853026,Main
Rank,0.021114217554161846,Main
Referrals,0.6096925482021887,Main
SERP Features Positions,0.9999999999999999,Main
SERP Features Positions Branded,,Main
SERP Features Traffic,,Main
Social,0.2953367875647669,Main
Total Keywords #5,0.27744234385825994,Main
Total Visits,0.3877410468319559,Main
