Website Data Type,Website Data
Adwords Cost,5264.0
Adwords Keywords,110.0
Adwords Traffic,1031.0
Average Visit Duration,105.0
Bounce Rate,0.6559999999999999
Category Rank,518.0
Direct,0.4783
Display,0.0006
Mail,0.0008
Number of Keywords 1-3,0.0
Number of Keywords 3-10,0.0
Organic Cost,7663.0
Organic Keywords,2458.0
Organic Keywords Percentage,0.8511
Organic Search,0.0837
Organic Traffic,2518.0
PLA Keywords,0.0
PLA Uniques,0.0
Pages per Visit,1.94
Paid Keywords Percentage,0.1489
Paid Search,0.0172
Rank,99448.0
Referrals,0.40380000000000005
SERP Features Positions,34.0
SERP Features Positions Branded,
SERP Features Traffic,
Social,0.0154
Total Keywords #5,497.0
Total Visits,13600.0
